force,intelligence,agilite,chance,experience,niveau_quete,equipement,fatigue,survie
86.18272,85.50735,45.795753,65.72098,3.2226186,0.9172478,46.131702,45.976894,1
99.80676,63.049355,34.367115,94.74611,1.2602913,3.705944,26.425264,17.742676,1
58.17424,50.651245,61.15696,82.065796,12.151354,6.0046673,71.25938,66.007904,1
27.04019,62.46073,52.509033,37.756958,17.059557,4.3701496,50.761765,16.588995,1
57.578117,80.20106,89.57891,4.960144,2.5913222,4.8149824,58.896893,-0.4654541,1
60.352455,68.326454,57.176033,38.496414,30.260849,4.729631,71.59354,90.920044,1
40.33095,86.11699,43.57806,64.74513,5.7335663,3.2307878,69.01963,14.664249,1
34.480335,35.119984,6.688755,31.789145,4.7939777,7.314495,34.77904,64.80258,0
44.606102,40.9315,36.066273,52.376366,0.8708942,9.847107,27.343079,56.707146,0
49.606544,60.999157,29.987036,84.72736,14.182531,6.6498322,68.565315,34.251472,1
93.90638,60.30948,45.242874,69.470604,5.0712066,1.9140599,49.943066,53.83702,1
67.84877,74.437,47.198727,62.661552,7.9753313,5.193724,63.294476,46.53051,1
37.78106,20.9573,28.99718,13.316998,0.55930424,3.2181907,31.083935,44.70703,0
84.96994,80.24954,68.24052,50.222572,2.218836,9.077892,45.010334,22.5597,1
26.883932,36.49238,36.16969,23.419832,0.4171419,1.6228547,33.8764,70.911285,0
66.412125,62.01326,87.45063,85.15373,13.722927,8.58493,53.62492,-1.6324921,1
43.64685,41.330242,77.94476,64.64143,18.432096,6.1463766,77.31593,77.28276,1
20.832706,30.9011,19.107903,18.799429,1.060755,5.3974133,42.35303,62.962788,0
59.916786,40.791428,79.96548,0.9364357,14.756084,5.828822,62.419086,41.187107,1
55.210526,20.54729,39.373978,56.564987,-0.27651167,5.830301,7.357277,57.05008,0
37.61949,40.99357,45.811783,9.938641,20.35616,5.878284,82.95714,41.793217,1
94.645836,56.546066,49.52258,60.865463,2.5106695,2.8660042,45.82789,30.201534,1
67.47813,67.61186,61.950066,65.64483,8.766941,8.0282955,62.373093,58.31181,1
63.042053,56.406322,46.216946,83.87187,4.107294,1.0511875,58.296043,30.547108,1
64.28166,50.40798,56.777237,80.055664,17.161295,4.206485,91.15115,34.577774,1
67.57544,67.54808,62.861393,64.27665,7.86316,6.8977146,49.247833,46.482212,1
66.29464,74.654144,62.08938,39.813595,3.236608,5.404581,62.824028,24.587008,1
32.00202,61.557354,26.34571,24.613111,0.58822155,2.155987,15.155169,71.6272,0
30.39689,82.02699,92.07152,98.03192,3.6420388,0.7533512,49.090233,17.765657,1
66.350655,37.901566,43.577744,82.48151,10.068455,3.6281688,60.166252,4.1118355,1
71.28078,48.28621,99.60849,98.00792,10.494063,7.8645406,63.163544,1.5873718,1
31.047293,75.09697,52.82864,41.604652,15.830929,10.214533,71.079636,50.273914,1
39.951897,51.638447,40.729454,67.03434,1.1349969,4.5342,18.251936,93.99933,0
21.263865,25.654615,57.211704,57.251526,2.0564735,8.870114,28.594803,66.239006,0
23.427834,21.262617,47.87673,22.54402,-0.17952585,3.4887934,32.69719,52.610317,0
43.198288,25.256205,37.012207,47.41285,2.0718117,10.291708,25.15773,36.579327,0
50.083523,82.23998,39.843445,47.731636,23.526016,7.263981,72.10742,44.352264,1
58.592873,0.47392654,51.037827,65.85503,0.33478355,8.44289,7.490608,33.20537,0
67.30703,70.65918,62.95453,52.351612,2.9943511,5.3377404,43.427753,13.067919,1
59.179665,53.440323,2.5782814,29.947533,15.860228,9.707077,74.97528,38.85831,1
32.066822,29.884418,68.7744,35.129547,0.52929735,8.119373,13.979364,36.91407,0
67.64969,64.3932,37.514744,41.26283,24.472008,10.3575325,82.52321,4.9070206,1
59.771152,24.552925,62.448147,34.742584,8.3667755,5.372785,67.05322,-0.39187622,1
41.919216,59.796818,69.92906,27.526491,18.807758,6.783473,99.36568,36.46499,1
76.59283,76.34055,31.756008,55.842804,6.338791,5.046393,57.36976,49.7677,1
21.02721,35.67791,35.774036,97.59242,28.7295,7.606155,87.92532,60.44311,1
70.97734,33.91065,64.09833,57.655052,14.457672,0.92593336,68.514206,34.744408,1
92.9291,30.716856,49.943073,42.971447,10.899636,4.99984,86.94348,75.751755,1
86.09229,56.82548,54.71265,70.263214,23.250513,5.7583632,81.325806,28.416252,1
70.86768,70.221634,56.062996,76.124695,4.7663016,1.8738966,38.010014,10.942402,1
23.26281,36.259865,67.58197,8.718754,0.9087949,10.018268,23.629599,17.369547,0
12.560741,22.207747,29.389364,26.576094,3.534347,10.096726,37.38487,55.79118,0
51.23516,82.27865,101.84412,46.524944,6.9763756,5.0187435,52.596237,45.92528,1
75.80025,84.328384,56.928024,94.90108,0.40637302,0.7978687,7.6290855,20.747496,1
23.764223,41.04958,44.029152,87.1696,1.895803,7.228704,7.6223946,62.441277,0
27.941544,33.927883,48.202553,22.643806,1.4832513,3.231731,11.257439,83.8883,0
29.268986,7.7030296,33.978897,17.520374,1.6146839,4.24185,23.729458,49.111103,0
33.43084,27.349127,32.50243,36.241764,1.3659527,3.8137834,21.974165,51.95991,0
92.860504,60.19397,64.58626,33.193207,1.5630758,5.039993,35.09717,4.18602,1
49.365868,72.902695,70.723885,36.2563,9.990313,3.833469,42.911327,3.1202164,1
83.501816,72.833145,37.57828,50.783592,9.185262,4.022048,27.799137,36.5486,1
59.674194,95.08124,60.330326,26.942783,7.038655,1.9866722,30.916153,36.413948,1
12.242508,58.68226,23.091106,34.46474,2.4039087,7.7025633,12.767733,39.840534,0
19.802301,20.62575,25.436087,40.618446,3.9217758,5.7766743,36.45317,42.54796,0
35.767193,14.05003,40.1867,35.605446,2.8245246,6.613892,38.997864,70.019775,0
79.52207,99.34023,55.615486,0.9838257,3.001018,6.0086083,33.62703,13.313555,1
58.524803,49.561253,48.427383,101.619354,8.262951,4.3113575,66.84971,-0.24488068,1
69.97674,35.194458,58.75623,52.17683,13.414255,8.148782,47.605816,20.174227,1
48.73177,68.99118,41.604073,36.534267,13.0884285,0.8879938,50.640923,49.854866,1
32.8975,59.24751,63.486538,78.45669,30.00367,9.275396,87.86272,66.6257,1
42.786327,77.0863,53.98501,29.40698,10.554869,3.2755475,47.314774,42.44446,1
65.57181,24.232048,41.278286,98.31561,12.125299,1.3898783,49.185764,27.47185,1
50.0403,39.685665,2.0891762,51.01632,0.86936975,8.987708,22.664478,73.67186,0
64.73242,43.66415,48.58089,80.20618,9.801962,1.9561291,57.40969,45.83626,1
64.73413,58.048958,63.728844,66.339714,5.5481796,0.8886509,56.107994,58.503063,1
12.676289,9.638767,61.22771,57.916374,2.5486693,4.043254,19.253412,39.905106,0
18.59947,34.281025,27.675703,45.17746,2.176999,9.724835,58.655006,69.07611,0
52.26232,26.025978,63.891304,89.007195,18.882023,5.5134487,56.9842,41.147873,1
61.780354,78.46617,55.73204,75.108475,13.867956,4.6303387,59.478806,32.57385,1
51.12206,45.836452,43.04678,85.746704,17.065203,2.0951393,67.54819,28.081203,1
76.97944,76.46266,55.344254,47.149864,1.4395423,2.8915431,59.820274,40.72931,1
-2.1029854,68.48529,45.527817,58.135345,3.1783137,6.4749074,23.517859,68.674576,0
71.98914,57.585167,48.58399,57.72302,12.320953,9.977394,61.884663,28.135368,1
88.18086,63.606495,53.77539,33.003944,0.30547237,3.2504447,43.550266,-1.4450455,1
40.9217,27.700827,73.20557,21.653185,-0.023282051,8.244526,18.976406,37.584896,0
73.01351,74.861694,79.66339,83.15428,1.4526312,0.8927469,28.128448,46.469517,1
12.166214,42.065964,44.264812,5.151451,2.3562067,5.26731,24.929672,56.382645,0
80.340195,84.77457,45.122227,45.89561,8.191595,1.1232333,38.80713,50.41988,1
68.411835,82.69779,37.33638,71.80124,14.358284,9.186877,45.440876,56.423573,1
73.175674,88.14402,48.03526,54.02677,3.4887466,4.477486,38.519157,2.9112701,1
66.20447,92.75018,46.52636,66.39361,8.772156,8.003151,57.253727,49.76534,1
93.285515,38.648907,78.95472,56.78336,9.520584,1.362884,63.738937,38.302944,1
52.504063,55.71876,80.494965,25.743938,15.663187,4.0966153,67.781555,47.036396,1
68.13794,51.02174,42.685535,20.10763,6.577349,5.663491,84.468094,38.383377,1
51.61172,61.485374,20.713985,84.68295,14.073067,1.084135,40.12819,51.48262,1
59.653378,87.651146,89.79558,51.43981,10.295807,9.956495,42.266376,54.932373,1
65.92478,74.51972,67.881584,40.941,3.2603288,7.7848415,62.308807,21.73367,1
79.956055,44.84797,47.412407,40.25284,6.498022,1.6979277,38.844692,22.090437,1
57.206318,80.266014,92.23393,40.330105,5.47853,5.50966,44.290287,6.5359917,1
86.1871,45.464706,65.0258,40.65479,6.888667,1.4958506,38.994427,35.194458,1
45.951565,31.490295,35.980255,61.583664,16.605778,5.971404,80.6111,27.606441,1
49.14334,66.60931,12.059353,61.611526,13.7113,8.653668,59.268623,44.59129,1
23.380838,64.471756,65.029305,42.15172,17.814047,6.2491217,64.305336,26.887917,1
20.639994,26.355932,16.389805,58.82061,3.9335392,9.064606,27.283014,65.6867,0
66.8859,50.397186,70.10144,79.633705,20.045797,5.4249043,73.449715,36.284817,1
79.880455,54.484764,58.21998,49.58398,26.851437,3.0178432,100.98212,56.440166,1
1.5321159,28.53436,36.53727,55.875645,2.6971407,8.08618,35.37677,44.523468,0
68.76878,54.54103,48.595284,67.36836,12.513187,5.18418,45.47962,22.39133,1
78.3555,75.14267,55.813725,18.09798,1.7805507,2.0949907,65.99646,12.117714,1
7.9522667,39.419224,40.511078,93.50174,0.4598813,10.280332,18.474728,45.554916,0
87.053345,56.174614,24.525303,67.458496,8.877165,3.7294228,54.553986,57.63358,1
28.971165,43.025608,37.849052,54.74672,0.28286123,8.60821,19.5288,29.10194,0
60.98038,44.267353,31.503345,22.986252,13.612881,2.5630152,66.52536,22.982862,1
57.160828,76.633835,74.73911,56.602417,4.44384,0.6080146,41.14172,28.396566,1
63.134903,52.535313,32.104954,63.093994,25.210808,5.8572307,73.62233,62.949444,1
68.33331,73.13785,58.727875,47.753845,2.0453067,1.9685383,67.84056,6.179123,1
84.93969,71.19083,43.794044,62.746315,6.930786,8.920768,57.740326,40.42332,1
79.30152,79.11563,65.447395,4.813854,23.283094,3.0921519,79.59514,64.497185,1
45.919445,43.3256,86.27428,43.82465,22.558199,2.661066,74.61003,56.56077,1
73.94037,45.55391,56.95275,58.08155,23.998205,4.3216324,85.08547,82.8445,1
24.163383,48.600388,55.394196,60.459404,0.88889027,7.398956,16.398878,53.467724,0
66.044556,29.72195,84.93078,38.918484,8.318319,3.9620113,50.128788,-0.5080795,1
56.67581,60.385147,60.114174,73.24354,10.282461,2.0797346,50.494743,47.25549,1
26.67808,47.94509,61.18253,43.027992,1.0053318,10.084478,5.90028,63.85503,0
54.07682,33.23007,50.92396,49.292007,15.078142,2.467677,62.053192,51.69981,1
66.03625,43.592354,54.185844,55.282486,10.117255,3.1198685,63.689095,48.778282,1
71.5724,67.21812,39.758945,18.31791,7.579932,3.1525583,51.608784,31.963371,1
38.49331,45.696205,84.735245,5.8244896,13.317537,0.9530864,56.36145,30.473087,1
32.305008,2.9248657,49.490887,11.905071,1.2210753,7.703956,48.480103,62.089954,0
49.43977,65.609085,33.191154,68.814156,14.842665,8.207721,70.39092,36.24899,1
